company names,cars names,engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H [s],Cars Prices [USD],fuel types,Seats,Torque [Nm]
ferrari,sf90 stradale,v8,3990,963,340,"2,50","1,100,000 ",plug in hyrbrid,2,800
rolls royce,phantom,v12,6749,563,250,"3,50","460,000",petrol,5,900
ford,ka+,1.2l petrol,"1,2",85,165,"4,50","15,000",petrol,5,140
mercedes,gt 63 s,v8,"3,982",630,250,"5,50","161,000",petrol,4,900
audi,audi r8 gt,v10,"5,204",602,320,"6,50","253,290",petrol,2,560
bmw,mclaren 720s,v8,"3,994",710,341,"7,50","499,000",petrol,2,770
aston martin,vantage f1,v8,"3,982",656,314,"8,50","193,440",petrol,2,685
bentley,continental gt azure,v8,"3,996",550,318,"9,50","311,000",petrol,4,900
lamborghini,veneno roadster,v12,"6,498",750,356,"10,50","4,500,000 ",petrol,2,690
ferrari,f8 tributo,v8,"3,9",710,340,"11,50","280,000",petrol,2,770
ferrari,812 gts,v12,6496,789,340,"12,50","350,000",petrol,2,718
ferrari,portofino,v8,"3,9",592,320,"13,50","210,000",petrol,4,760
ferrari,roma,v8,"3,9",612,320,"14,50","230,000",petrol,4,760
ferrari,monza sp2,v12,"6,496",789,340,"15,50","1,700,000 ",petrol,2,719
ferrari,f8 spider,v8,"3,9",710,340,"16,50","280,000",petrol,2,770
ferrari,portofino m,v8,"3,9",612,320,"17,50","220,000",petrol,4,760
ferrari,roma spider,v8,"3,9",612,320,"18,50","240,000",petrol,4,760
toyota,gr supra,i4,"2,998",382,250,"19,50","53,900",petrol,2,500
toyota,toyota 86,boxer-4,"1,998",205,226,"20,50","27,000",petrol,4,205
toyota,toyota  gr86,boxer-4,"2,387",228,226,"21,50","30,000",petrol,4,250
toyota,toyota land cruiser,v8,"5,663",381,220,"22,50","85,000",diesel,7,500
toyota,toyota sequoia,v8,"5,663",381,200,"23,50","50,000",petrol,7,651
nissan,gt-r,v6,"3,799",600,315,"24,50","113,000",petrol,4,637
nissan,370z,v6,"3,696",332,250,"25,50","30,000",petrol,2,366
